Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Common parasitic problems in small animal dermatology.","/pubmed/3949611","Reedy LM.","J Am Vet Med Assoc. 1986 Feb 15;188(4):362-4. No abstract available. ","J Am Vet Med Assoc.  1986","PubMed","citation","PMID:3949611","pubmed","3949611","create date:1986/02/15 | first author:Reedy LM",
"Ketoconazole: clinical pharmacology and therapeutic recommendations.","/pubmed/3949608","Moriello KA.","J Am Vet Med Assoc. 1986 Feb 1;188(3):303-6. No abstract available. ","J Am Vet Med Assoc.  1986","PubMed","citation","PMID:3949608","pubmed","3949608","create date:1986/02/01 | first author:Moriello KA",
"Canine and feline mast cell tumors: biologic behavior, diagnosis, and therapy.","/pubmed/3148990","Macy DW.","Semin Vet Med Surg (Small Anim). 1986 Feb;1(1):72-83. Review.","Semin Vet Med Surg (Small Anim).  1986","PubMed","citation","PMID:3148990","pubmed","3148990","create date:1986/02/01 | first author:Macy DW",
"Zoonotic dermatophytosis (ringworm)","/pubmed/3952959","Pepin GA, Oxenham M.","Vet Rec. 1986 Jan 25;118(4):110-1. No abstract available. ","Vet Rec.  1986","PubMed","citation","PMID:3952959","pubmed","3952959","create date:1986/01/25 | first author:Pepin GA",
"Postnatal development of corneal endothelium.","/pubmed/3941037","Bahn CF, Glassman RM, MacCallum DK, Lillie JH, Meyer RF, Robinson BJ, Rich NM.","Invest Ophthalmol Vis Sci. 1986 Jan;27(1):44-51.","Invest Ophthalmol Vis Sci.  1986","PubMed","citation","PMID:3941037","pubmed","3941037","create date:1986/01/01 | first author:Bahn CF",
"[Pathophysiology of reperfusion].","/pubmed/3825230","Schaper W.","Z Kardiol. 1986;75 Suppl 5:73-5. German. ","Z Kardiol.  1986","PubMed","citation","PMID:3825230","pubmed","3825230","create date:1986/01/01 | first author:Schaper W",
"Histochemical similarities between human and animal globoid cells in Krabbe's disease: a lectin study.","/pubmed/3776473","Alroy J, Ucci AA, Goyal V, Aurilio A.","Acta Neuropathol. 1986;71(1-2):26-31.","Acta Neuropathol.  1986","PubMed","citation","PMID:3776473","pubmed","3776473","create date:1986/01/01 | first author:Alroy J",
"[Allergy to domestic and laboratory animals].","/pubmed/3715163","Bousquet J, Guerin B, Michel FB.","Rev Mal Respir. 1986;3(1):25-9. French. ","Rev Mal Respir.  1986","PubMed","citation","PMID:3715163","pubmed","3715163","create date:1986/01/01 | first author:Bousquet J",
"Catalytic enzyme activity concentration in plasma of man, sheep, dog, cat, rabbit, guinea pig, rat and mouse. Approach to a quantitative diagnostic enzymology, I. Communication.","/pubmed/3701267","Lindena J, Trautschold I.","J Clin Chem Clin Biochem. 1986 Jan;24(1):11-8.","J Clin Chem Clin Biochem.  1986","PubMed","citation","PMID:3701267","pubmed","3701267","create date:1986/01/01 | first author:Lindena J",
"[Helminths of carnivores relevant to veterinary practice].","/pubmed/3526635","Hasslinger MA.","Tierarztl Prax. 1986;14(2):265-73. Review. German. ","Tierarztl Prax.  1986","PubMed","citation","PMID:3526635","pubmed","3526635","create date:1986/01/01 | first author:Hasslinger MA",
"Histamine in endocrine cells in the stomach. A survey of several species using a panel of histamine antibodies.","/pubmed/2878908","Håkanson R, Böttcher G, Ekblad E, Panula P, Simonsson M, Dohlsten M, Hallberg T, Sundler F.","Histochemistry. 1986;86(1):5-17.","Histochemistry.  1986","PubMed","citation","PMID:2878908","pubmed","2878908","create date:1986/01/01 | first author:Håkanson R",
"Chromogranin A (CGA) in the gastro-entero-pancreatic (GEP) endocrine system. I. CGA in the mammalian endocrine pancreas.","/pubmed/2877960","Grube D, Aunis D, Bader F, Cetin Y, Jörns A, Yoshie S.","Histochemistry. 1986;85(6):441-52.","Histochemistry.  1986","PubMed","citation","PMID:2877960","pubmed","2877960","create date:1986/01/01 | first author:Grube D",
"Motility of isolated mammalian gastric fundus.","/pubmed/2877806","Petroianu A, Weinberg J.","Comp Biochem Physiol C. 1986;85(1):57-9.","Comp Biochem Physiol C.  1986","PubMed","citation","PMID:2877806","pubmed","2877806","create date:1986/01/01 | first author:Petroianu A",
"New fimbrial antigen F165 from Escherichia coli serogroup O115 strains isolated from piglets with diarrhea.","/pubmed/2867041","Fairbrother JM, Larivière S, Lallier R.","Infect Immun. 1986 Jan;51(1):10-5.","Infect Immun.  1986","PubMed","citation","PMID:2867041 | PMCID:PMC261058","pubmed","2867041","create date:1986/01/01 | first author:Fairbrother JM",
"Guinea pig "little" gastrin is a hexadecapeptide.","/pubmed/4079663","Bonato C, Eng J, Pan YC, Chang M, Hulmes JD, Yalow RS.","Life Sci. 1985 Dec 30;37(26):2563-8.","Life Sci.  1985","PubMed","citation","PMID:4079663","pubmed","4079663","create date:1985/12/30 | first author:Bonato C",
"Toxoplasmosis in animals and the public health aspects.","/pubmed/3915300","Okolo MI.","Int J Zoonoses. 1985 Dec;12(4):247-56. Review. No abstract available. ","Int J Zoonoses.  1985","PubMed","citation","PMID:3915300","pubmed","3915300","create date:1985/12/01 | first author:Okolo MI",
"Effect of diet on gastric secretion.","/pubmed/4061354","Brooks FP.","Am J Clin Nutr. 1985 Nov;42(5 Suppl):1006-19.","Am J Clin Nutr.  1985","PubMed","citation","PMID:4061354","pubmed","4061354","create date:1985/11/01 | first author:Brooks FP",
"Epidemiological role of humans, dogs and cats in the transmission of Trypanosoma cruzi in a central area of Argentina.","/pubmed/3939163","Wisnivesky-Colli C, Gürtler RE, Solarz ND, Lauricella MA, Segura EL.","Rev Inst Med Trop Sao Paulo. 1985 Nov-Dec;27(6):346-52. No abstract available. ","Rev Inst Med Trop Sao Paulo.  1985","PubMed","citation","PMID:3939163","pubmed","3939163","create date:1985/11/01 | first author:Wisnivesky-Colli C",
"The effects of digitalis on intracellular calcium transients in mammalian working myocardium as detected with aequorin.","/pubmed/3908693","Morgan JP.","J Mol Cell Cardiol. 1985 Nov;17(11):1065-75. Review.","J Mol Cell Cardiol.  1985","PubMed","citation","PMID:3908693","pubmed","3908693","create date:1985/11/01 | first author:Morgan JP",
"Pet-associated illness.","/pubmed/3900726","Elliot DL, Tolle SW, Goldberg L, Miller JB.","N Engl J Med. 1985 Oct 17;313(16):985-95. Review. No abstract available. ","N Engl J Med.  1985","PubMed","citation","PMID:3900726","pubmed","3900726","create date:1985/10/17 | first author:Elliot DL",
"Dog and cat ownership among suicides and matched controls.","/pubmed/4037170","Helsing KJ, Monk M.","Am J Public Health. 1985 Oct;75(10):1223-4.","Am J Public Health.  1985","PubMed","citation","PMID:4037170 | PMCID:PMC1646386","pubmed","4037170","create date:1985/10/01 | first author:Helsing KJ",
"Ocular changes in a cat with disseminated blastomycosis.","/pubmed/4086373","Nasisse MP, van Ee RT, Wright B.","J Am Vet Med Assoc. 1985 Sep 15;187(6):629-31.","J Am Vet Med Assoc.  1985","PubMed","citation","PMID:4086373","pubmed","4086373","create date:1985/09/15 | first author:Nasisse MP",
"Zoonotic helminths of dogs and cats at New Bussa, Kainji Lake area, Nigeria.","/pubmed/3833831","Okaeme AN.","Int J Zoonoses. 1985 Sep;12(3):238-40.","Int J Zoonoses.  1985","PubMed","citation","PMID:3833831","pubmed","3833831","create date:1985/09/01 | first author:Okaeme AN",
"[Importance of animal epithelia as house dust allergens].","/pubmed/4017894","Ammann B, Wüthrich B.","Dtsch Med Wochenschr. 1985 Aug 16;110(33):1239-45. German. ","Dtsch Med Wochenschr.  1985","PubMed","citation","PMID:4017894","pubmed","4017894","create date:1985/08/16 | first author:Ammann B",
"Sarcosporidiosis--an overlooked zoonosis. Man as intermediate and final host.","/pubmed/3930158","Greve E.","Dan Med Bull. 1985 Aug;32(4):228-30.","Dan Med Bull.  1985","PubMed","citation","PMID:3930158","pubmed","3930158","create date:1985/08/01 | first author:Greve E",
"Inhalant allergy to wild animals (deer and elk).","/pubmed/3875300","Gillespie DN, Dahlberg MJ, Yunginger JW.","Ann Allergy. 1985 Aug;55(2):122-5.","Ann Allergy.  1985","PubMed","citation","PMID:3875300","pubmed","3875300","create date:1985/08/01 | first author:Gillespie DN",
"The occurrence and properties of a serum hepatic antigen in various liver diseases.","/pubmed/4037702","Espinosa E.","Ann Clin Lab Sci. 1985 Jul-Aug;15(4):308-14.","Ann Clin Lab Sci.  1985","PubMed","citation","PMID:4037702","pubmed","4037702","create date:1985/07/01 | first author:Espinosa E",
"Seroepidemiology of Q fever among domestic animals in Nova Scotia.","/pubmed/3890569","Marrie TJ, Van Buren J, Fraser J, Haldane EV, Faulkner RS, Williams JC, Kwan C.","Am J Public Health. 1985 Jul;75(7):763-6.","Am J Public Health.  1985","PubMed","citation","PMID:3890569 | PMCID:PMC1646304","pubmed","3890569","create date:1985/07/01 | first author:Marrie TJ",
"Thyroid hormone binding in serum of 15 vertebrate species: isolation of thyroxine-binding globulin and prealbumin analogs.","/pubmed/3924724","Larsson M, Pettersson T, Carlström A.","Gen Comp Endocrinol. 1985 Jun;58(3):360-75.","Gen Comp Endocrinol.  1985","PubMed","citation","PMID:3924724","pubmed","3924724","create date:1985/06/01 | first author:Larsson M",
"Localization of immunoreactive synthetic atrial natriuretic factor (ANF) in the heart of various animal species.","/pubmed/3158698","Chapeau C, Gutkowska J, Schiller PW, Milne RW, Thibault G, Garcia R, Genest J, Cantin M.","J Histochem Cytochem. 1985 Jun;33(6):541-50.","J Histochem Cytochem.  1985","PubMed","citation","PMID:3158698","pubmed","3158698","create date:1985/06/01 | first author:Chapeau C",
"Scanning electron microscope study of cat and dog enamel structure.","/pubmed/3989867","Skobe Z, Prostak KS, Trombly PL.","J Morphol. 1985 May;184(2):195-203.","J Morphol.  1985","PubMed","citation","PMID:3989867","pubmed","3989867","create date:1985/05/01 | first author:Skobe Z",
"Immunologically related multimeric forms of 30-40 kDa peptides associated with lung surfactant in various mammalian species.","/pubmed/3838484","Shelley SA, Paciga JE, Lowell NE, Balis JU.","Biochim Biophys Acta. 1985 Mar 29;839(1):50-6.","Biochim Biophys Acta.  1985","PubMed","citation","PMID:3838484","pubmed","3838484","create date:1985/03/29 | first author:Shelley SA",
"Cross-allergenicity between extracts of hair from different dog breeds and cat fur.","/pubmed/3995727","Wüthrich B, Guerin B, Hewitt BE.","Clin Allergy. 1985 Mar;15(2):87-93.","Clin Allergy.  1985","PubMed","citation","PMID:3995727","pubmed","3995727","create date:1985/03/01 | first author:Wüthrich B",
"[Comparative characteristics of the vitreous body proteins in vertebrates].","/pubmed/3993277","Zorin NA, Rykov VA, Potekhin VK, Savinykh VI, Chirikova TS.","Zh Evol Biokhim Fiziol. 1985 Mar-Apr;21(2):130-3. Russian. ","Zh Evol Biokhim Fiziol.  1985","PubMed","citation","PMID:3993277","pubmed","3993277","create date:1985/03/01 | first author:Zorin NA",
"Attachment of people to companion animals.","/pubmed/3872510","Voith VL.","Vet Clin North Am Small Anim Pract. 1985 Mar;15(2):289-95.","Vet Clin North Am Small Anim Pract.  1985","PubMed","citation","PMID:3872510","pubmed","3872510","create date:1985/03/01 | first author:Voith VL",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Application of the peroxidase-antiperoxidase procedure to the localization of pituitary hormones and calcitonin in various domestic animals and human beings.","/pubmed/2986499","Sandusky GE Jr, Wightman KA.","Am J Vet Res. 1985 Mar;46(3):739-41.","Am J Vet Res.  1985","PubMed","citation","PMID:2986499","pubmed","2986499","create date:1985/03/01 | first author:Sandusky GE Jr",
"[Tinea caused by Microsporum canis in children under 30 days of age].","/pubmed/3992426","Zaror L, Moreno MI, Bilbao MT.","Sabouraudia. 1985 Feb;23(1):1-5. Spanish. ","Sabouraudia.  1985","PubMed","citation","PMID:3992426","pubmed","3992426","create date:1985/02/01 | first author:Zaror L",
"Allergen specific IgGd antibodies in dogs with atopic dermatitis as determined by the enzyme linked immunosorbent assay (ELISA).","/pubmed/3978875","Willemse A, Noordzij A, Van den Brom WE, Rutten VP.","Clin Exp Immunol. 1985 Feb;59(2):359-63.","Clin Exp Immunol.  1985","PubMed","citation","PMID:3978875 | PMCID:PMC1577133","pubmed","3978875","create date:1985/02/01 | first author:Willemse A",
"Reverse-phase h.p.l.c. separation, quantification and preparation of bilirubin and its conjugates from native bile. Quantitative analysis of the intact tetrapyrroles based on h.p.l.c. of their ethyl anthranilate azo derivatives.","/pubmed/3919713","Spivak W, Carey MC.","Biochem J. 1985 Feb 1;225(3):787-805.","Biochem J.  1985","PubMed","citation","PMID:3919713 | PMCID:PMC1144656","pubmed","3919713","create date:1985/02/01 | first author:Spivak W",
"Management of human and animal bite wounds.","/pubmed/3902450","Rest JG, Goldstein EJ.","Emerg Med Clin North Am. 1985 Feb;3(1):117-26. Review.","Emerg Med Clin North Am.  1985","PubMed","citation","PMID:3902450","pubmed","3902450","create date:1985/02/01 | first author:Rest JG",
"Host range of mink cell focus-inducing viruses.","/pubmed/2982233","Cloyd MW, Thompson MM, Hartley JW.","Virology. 1985 Jan 30;140(2):239-48.","Virology.  1985","PubMed","citation","PMID:2982233","pubmed","2982233","create date:1985/01/30 | first author:Cloyd MW",
"Degradation of monomeric and fibrillar type III collagens by human skin collagenase. Kinetic constants using different animal substrates.","/pubmed/2981830","Welgus HG, Burgeson RE, Wootton JA, Minor RR, Fliszar C, Jeffrey JJ.","J Biol Chem. 1985 Jan 25;260(2):1052-9.","J Biol Chem.  1985","PubMed","citation","PMID:2981830","pubmed","2981830","create date:1985/01/25 | first author:Welgus HG",
"Sizing of animal erythrocytes using sulfate based diluent.","/pubmed/15221683","Weiser MG.","Vet Clin Pathol. 1985;14(2):7-9.","Vet Clin Pathol.  1985","PubMed","citation","PMID:15221683","pubmed","15221683","create date:1985/01/01 | first author:Weiser MG",
"[Comparative pathology of breast tumors in domestic animals].","/pubmed/4096103","Frese K.","Verh Dtsch Ges Pathol. 1985;69:152-70. German.  No abstract available. ","Verh Dtsch Ges Pathol.  1985","PubMed","citation","PMID:4096103","pubmed","4096103","create date:1985/01/01 | first author:Frese K",
"[Proximal femoral fractures in cats and dogs].","/pubmed/4012774","Matis U, Waibl H.","Tierarztl Prax Suppl. 1985;1:159-78. German. ","Tierarztl Prax Suppl.  1985","PubMed","citation","PMID:4012774","pubmed","4012774","create date:1985/01/01 | first author:Matis U",
"Species variation in the binding of hGH to hepatic membranes.","/pubmed/3972335","Moore WV, Draper S, Hung CH.","Horm Res. 1985;21(1):33-45.","Horm Res.  1985","PubMed","citation","PMID:3972335","pubmed","3972335","create date:1985/01/01 | first author:Moore WV",
"Stimulation of gastric acid secretion in the rhesus monkey.","/pubmed/3965277","Trout HH 3rd, Zinner M, Harmon JW.","Dig Dis Sci. 1985 Jan;30(1):82-7.","Dig Dis Sci.  1985","PubMed","citation","PMID:3965277","pubmed","3965277","create date:1985/01/01 | first author:Trout HH 3rd",
"From the spinning disc to the membrane oxygenator for open-heart surgery.","/pubmed/3936170","Björk VO, Sternlieb JJ, Davenport C.","Scand J Thorac Cardiovasc Surg. 1985;19(3):207-16.","Scand J Thorac Cardiovasc Surg.  1985","PubMed","citation","PMID:3936170","pubmed","3936170","create date:1985/01/01 | first author:Björk VO",
"Struvite urolithiasis in animals and man: formation, detection, and dissolution.","/pubmed/3911756","Osborne CA, Polzin DJ, Abdullahi SU, Leininger JR, Clinton CW, Griffith DP.","Adv Vet Sci Comp Med. 1985;29:1-101. Review. No abstract available. ","Adv Vet Sci Comp Med.  1985","PubMed","citation","PMID:3911756","pubmed","3911756","create date:1985/01/01 | first author:Osborne CA",
"[Eye lesions in toxocariasis].","/pubmed/3900843","Cherednichenko VM.","Oftalmol Zh. 1985;(4):236-9. Review. Russian.  No abstract available. ","Oftalmol Zh.  1985","PubMed","citation","PMID:3900843","pubmed","3900843","create date:1985/01/01 | first author:Cherednichenko VM",
"Occurrence and distribution of calcitonin gene-related peptide in the mammalian respiratory tract and middle ear.","/pubmed/3896511","Uddman R, Luts A, Sundler F.","Cell Tissue Res. 1985;241(3):551-5.","Cell Tissue Res.  1985","PubMed","citation","PMID:3896511","pubmed","3896511","create date:1985/01/01 | first author:Uddman R",
"[Occurrence of Campylobacter jejuni in animals and its significance for the human].","/pubmed/3895567","Weber A.","Tierarztl Prax. 1985;13(2):151-7. Review. German. ","Tierarztl Prax.  1985","PubMed","citation","PMID:3895567","pubmed","3895567","create date:1985/01/01 | first author:Weber A",
"Genetic galactosylceramidase deficiency (globoid cell leukodystrophy, Krabbe disease) in different mammalian species.","/pubmed/3895053","Suzuki K, Suzuki K.","Neurochem Pathol. 1985 Spring;3(1):53-68. Review.","Neurochem Pathol.  1985","PubMed","citation","PMID:3895053","pubmed","3895053","create date:1985/01/01 | first author:Suzuki K",
"Companion animal behavior: a review of dog and cat behavior in the field, the laboratory and the clinic.","/pubmed/3884265","Houpt KA.","Cornell Vet. 1985 Jan;75(1):248-61. Review. No abstract available. ","Cornell Vet.  1985","PubMed","citation","PMID:3884265","pubmed","3884265","create date:1985/01/01 | first author:Houpt KA",
"[Pharmacologic principles in the treatment of epilepsy in the dog and cat].","/pubmed/3834646","Frey HH, Schwartz-Porsche D.","Tierarztl Prax. 1985;13(4):541-9. German. ","Tierarztl Prax.  1985","PubMed","citation","PMID:3834646","pubmed","3834646","create date:1985/01/01 | first author:Frey HH",
"Comparison of fiber types in skeletal muscles from ten animal species based on sensitivity of the myofibrillar actomyosin ATPase to acid or copper.","/pubmed/3158628","Matoba H, Allen JR, Bayly WM, Oakley CR, Gollnick PD.","Histochemistry. 1985;82(2):175-83.","Histochemistry.  1985","PubMed","citation","PMID:3158628","pubmed","3158628","create date:1985/01/01 | first author:Matoba H",
"[Intrinsic sympathomimetic action and its special features as demonstrated by the beta-1-receptor blocker celiprolol].","/pubmed/2861698","Pittner H.","Wien Klin Wochenschr Suppl. 1985;162:1-21. Review. German. ","Wien Klin Wochenschr Suppl.  1985","PubMed","citation","PMID:2861698","pubmed","2861698","create date:1985/01/01 | first author:Pittner H",
"[Pharmacokinetics of fenazepam and its metabolite 3-oxyfenazepam in animals of different species and in man].","/pubmed/2858403","Zherdev VP, Martynova LA, Caccia S, Garattini S, Ekonomov AL.","Farmakol Toksikol. 1985 Jan-Feb;48(1):31-5. Russian. ","Farmakol Toksikol.  1985","PubMed","citation","PMID:2858403","pubmed","2858403","create date:1985/01/01 | first author:Zherdev VP",
"PY 108-068: a calcium antagonist with an unusual pattern of cardiovascular activity.","/pubmed/2579873","Hof RP.","Gen Pharmacol. 1985;16(1):1-6. Review.","Gen Pharmacol.  1985","PubMed","citation","PMID:2579873","pubmed","2579873","create date:1985/01/01 | first author:Hof RP",
"[Experimental pharmacology of atracurium dibesylate].","/pubmed/2418715","Meistelman C, Lienhart A.","Ann Fr Anesth Reanim. 1985;4(6):461-4. French. ","Ann Fr Anesth Reanim.  1985","PubMed","citation","PMID:2418715","pubmed","2418715","create date:1985/01/01 | first author:Meistelman C",
"Cardioprotective and antidysrhythmic effects of alpha 1-adrenoceptor blockade during myocardial ischaemia and reperfusion in the dog.","/pubmed/2414603","Aubry ML, Davey MJ, Petch B.","J Cardiovasc Pharmacol. 1985;7 Suppl 6:S93-102.","J Cardiovasc Pharmacol.  1985","PubMed","citation","PMID:2414603","pubmed","2414603","create date:1985/01/01 | first author:Aubry ML",
"[Report of two cases of human ocular dirofilariasis in Sicily].","/pubmed/6600000","Cancrini G, Scaglione F.","Parassitologia. 1984 Dec;26(3):273-82. Italian. ","Parassitologia.  1984","PubMed","citation","PMID:6600000","pubmed","6600000","create date:1984/12/01 | first author:Cancrini G",
"Measurement of prostaglandins in the cerebrospinal fluid in cat, dog, and man.","/pubmed/6593432","Romero SD, Chyatte D, Byer DE, Romero JC, Yaksh TL.","J Neurochem. 1984 Dec;43(6):1642-9.","J Neurochem.  1984","PubMed","citation","PMID:6593432","pubmed","6593432","create date:1984/12/01 | first author:Romero SD",
"[Man as a source of zoonotic microsporosis caused by Microsporum canis].","/pubmed/6531989","Sheklakov ND, Stepanova ZhV, Klimova IIa, Mosaleva NA.","Vestn Dermatol Venerol. 1984 Dec;(12):29-30. Russian.  No abstract available. ","Vestn Dermatol Venerol.  1984","PubMed","citation","PMID:6531989","pubmed","6531989","create date:1984/12/01 | first author:Sheklakov ND",
"Upper digestive tract neoplasia in the cat (a comparative study).","/pubmed/6512394","Levene A.","J Laryngol Otol. 1984 Dec;98(12):1221-3.","J Laryngol Otol.  1984","PubMed","citation","PMID:6512394","pubmed","6512394","create date:1984/12/01 | first author:Levene A",
"The response of the isolated iris sphincter muscle of various mammalian species to substance P.","/pubmed/6083876","Unger WG, Tighe J.","Exp Eye Res. 1984 Dec;39(6):677-84.","Exp Eye Res.  1984","PubMed","citation","PMID:6083876","pubmed","6083876","create date:1984/12/01 | first author:Unger WG",
"Future developments in the aminoglycoside group of antimicrobial drugs.","/pubmed/6392239","Benitz AM.","J Am Vet Med Assoc. 1984 Nov 15;185(10):1118-23. Review. No abstract available. ","J Am Vet Med Assoc.  1984","PubMed","citation","PMID:6392239","pubmed","6392239","create date:1984/11/15 | first author:Benitz AM",
"Lung surfactant phospholipids in different animal species.","/pubmed/6549205","Shelley SA, Paciga JE, Balis JU.","Lipids. 1984 Nov;19(11):857-62.","Lipids.  1984","PubMed","citation","PMID:6549205","pubmed","6549205","create date:1984/11/01 | first author:Shelley SA",
"Identification of spinal cord pathways responsible for the peroneal-evoked response in the dog.","/pubmed/6528295","Gaines R, York DH, Watts C.","Spine (Phila Pa 1976). 1984 Nov-Dec;9(8):810-4.","Spine (Phila Pa 1976).  1984","PubMed","citation","PMID:6528295","pubmed","6528295","create date:1984/11/01 | first author:Gaines R",
"Occurrence and impact of zoonoses in pet dogs and cats at US Air Force bases.","/pubmed/6496816","Warner RD.","Am J Public Health. 1984 Nov;74(11):1239-43.","Am J Public Health.  1984","PubMed","citation","PMID:6496816 | PMCID:PMC1652039","pubmed","6496816","create date:1984/11/01 | first author:Warner RD",
"Pasteurella multocida: bilateral septic knee joint prostheses from a distant cat bite.","/pubmed/6486543","Orton DW, Fulcher WH.","Ann Emerg Med. 1984 Nov;13(11):1065-7.","Ann Emerg Med.  1984","PubMed","citation","PMID:6486543","pubmed","6486543","create date:1984/11/01 | first author:Orton DW",
"A monoclonal antibody to the embryonic myosin heavy chain of rat skeletal muscle.","/pubmed/6384219","Gambke B, Rubinstein NA.","J Biol Chem. 1984 Oct 10;259(19):12092-100.","J Biol Chem.  1984","PubMed","citation","PMID:6384219","pubmed","6384219","create date:1984/10/10 | first author:Gambke B",
"Cytophotometric comparisons of DNA levels in neuronal and glial cells of the cerebellum: a comparative study.","/pubmed/6518623","Lee GM, Rasch EM, Thornthwaite JT.","Cell Biochem Funct. 1984 Oct;2(4):225-36.","Cell Biochem Funct.  1984","PubMed","citation","PMID:6518623","pubmed","6518623","create date:1984/10/01 | first author:Lee GM",
"Comparison of strains of gram-negative, anaerobic, agar-corroding rods isolated from soft tissue infections in cats and dogs with type strains of Bacteroides gracilis, Wolinella recta, Wolinella succinogenes, and Campylobacter concisus.","/pubmed/6490858","Love DN, Jones RF, Bailey M, Calverley A.","J Clin Microbiol. 1984 Oct;20(4):747-50.","J Clin Microbiol.  1984","PubMed","citation","PMID:6490858 | PMCID:PMC271423","pubmed","6490858","create date:1984/10/01 | first author:Love DN",
"Extracellular superoxide dismutase and other superoxide dismutase isoenzymes in tissues from nine mammalian species.","/pubmed/6487268","Marklund SL.","Biochem J. 1984 Sep 15;222(3):649-55.","Biochem J.  1984","PubMed","citation","PMID:6487268 | PMCID:PMC1144226","pubmed","6487268","create date:1984/09/15 | first author:Marklund SL",
"Comparative pathology of endometrial carcinoma.","/pubmed/6388139","Elsinghorst TA, Timmermans HJ, Hendriks HG.","Vet Q. 1984 Sep;6(4):200-8. Review.","Vet Q.  1984","PubMed","citation","PMID:6388139","pubmed","6388139","create date:1984/09/01 | first author:Elsinghorst TA",
"Use of monoclonal antibodies to confirm vaccine-induced rabies in ten dogs, two cats, and one fox.","/pubmed/6540768","Whetstone CA, Bunn TO, Emmons RW, Wiktor TJ.","J Am Vet Med Assoc. 1984 Aug 1;185(3):285-8.","J Am Vet Med Assoc.  1984","PubMed","citation","PMID:6540768","pubmed","6540768","create date:1984/08/01 | first author:Whetstone CA",
"Magnetic antibody immunoassay thyroid function tests in general practice.","/pubmed/6474779","Donne CS, Wildgoose WH.","Vet Rec. 1984 Jul 28;115(4):79-83.","Vet Rec.  1984","PubMed","citation","PMID:6474779","pubmed","6474779","create date:1984/07/28 | first author:Donne CS",
"Immunohistochemical identification and crossreactions of amyloid-A fibril protein in man and eleven other species.","/pubmed/6432863","Linke RP, Hol PR, Gruys E, Geisel O, Nathrath WB, Trautwein G.","J Comp Pathol. 1984 Jul;94(3):339-56.","J Comp Pathol.  1984","PubMed","citation","PMID:6432863","pubmed","6432863","create date:1984/07/01 | first author:Linke RP",
"A simple and economical modification of the Masson-Fontana method for staining melanin granules and enterochromaffin cells.","/pubmed/6208641","Barbosa AJ, Castro LP, Margarida A, Nogueira MF.","Stain Technol. 1984 Jul;59(4):193-6.","Stain Technol.  1984","PubMed","citation","PMID:6208641","pubmed","6208641","create date:1984/07/01 | first author:Barbosa AJ",
"Immunohistochemical localization to pyloric antral G cells of peptides derived from porcine preprogastrin.","/pubmed/6208575","Jonsson AC, Dockray GJ.","Regul Pept. 1984 Jul;8(4):283-90.","Regul Pept.  1984","PubMed","citation","PMID:6208575","pubmed","6208575","create date:1984/07/01 | first author:Jonsson AC",
"Indoleaminergic mechanisms in brain vessels; localization, concentration, uptake and in vitro responses of 5-hydroxytryptamine.","/pubmed/6206684","Edvinsson L, Birath E, Uddman R, Lee TJ, Duverger D, MacKenzie ET, Scatton B.","Acta Physiol Scand. 1984 Jul;121(3):291-9.","Acta Physiol Scand.  1984","PubMed","citation","PMID:6206684","pubmed","6206684","create date:1984/07/01 | first author:Edvinsson L",
"Rabies in Oyo State, Nigeria; 1971-1982.","/pubmed/6500865","Ogunkoya AB, Will LA, Ezeokoli CD.","Int J Zoonoses. 1984 Jun;11(1):84-94.","Int J Zoonoses.  1984","PubMed","citation","PMID:6500865","pubmed","6500865","create date:1984/06/01 | first author:Ogunkoya AB",
"Viral zoonoses in Nigeria: (I) Rabies.","/pubmed/6500864","Durojaiye OA.","Int J Zoonoses. 1984 Jun;11(1):65-8. No abstract available. ","Int J Zoonoses.  1984","PubMed","citation","PMID:6500864","pubmed","6500864","create date:1984/06/01 | first author:Durojaiye OA",
"Histamine and the heart.","/pubmed/6331617","McNeill JH.","Can J Physiol Pharmacol. 1984 Jun;62(6):720-6. Review.","Can J Physiol Pharmacol.  1984","PubMed","citation","PMID:6331617","pubmed","6331617","create date:1984/06/01 | first author:McNeill JH",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Diseases of the adrenal cortex of dogs and cats.","/pubmed/6330521","Kaufman J.","Mod Vet Pract. 1984 Jun;65(6):429-34. Review.","Mod Vet Pract.  1984","PubMed","citation","PMID:6330521","pubmed","6330521","create date:1984/06/01 | first author:Kaufman J",
"[Soil contamination by Toxocara eggs at Moscow preschool institutions and its sources].","/pubmed/6749059","Vereta LE, Mamykova OI.","Med Parazitol (Mosk). 1984 May-Jun;(3):19-22. Russian.  No abstract available. ","Med Parazitol (Mosk).  1984","PubMed","citation","PMID:6749059","pubmed","6749059","create date:1984/05/01 | first author:Vereta LE",
"Sensory nerve conduction velocity of cutaneous afferents of the radial, ulnar, peroneal, and tibial nerves of the cat: reference values.","/pubmed/6732011","Redding RW, Ingram JT.","Am J Vet Res. 1984 May;45(5):1042-5.","Am J Vet Res.  1984","PubMed","citation","PMID:6732011","pubmed","6732011","create date:1984/05/01 | first author:Redding RW",
